"term id","# background genes","# genes","category","chart color","description","FDR value","genes","network.SUID","nodes.SUID","PMID","term name","year"
"13","959","21","GO Process","","organic acid metabolic process","6.7E-4","PON1|G6PC|HAL|ALDH1L1|HGD|HPD|IGF1|PCK1|TAT|ARG1|POX2|CES1|ANGPTL3|CYP2C8|MAT1A|GNMT|SPOCK2|ALDOB|RGN|ELOVL7|PAH","1124","1210|1136|1242|1222|1153|1232|1230|1188|1219|1224|1257|1235|1135|1212|1201|1142|1246|1180|1248|1156|1238","","GO.0006082","0"
"14","248","11","GO Process","","steroid metabolic process","6.7E-4","PON1|APOB|APOA1|G6PC|CES1|HMGCS2|ANGPTL3|CYP2C8|SPP1|GC|CEBPA","1124","1210|1184|1182|1136|1235|1170|1135|1212|1200|1227|1193","","GO.0008202","0"
"15","114","8","GO Process","","cellular amino acid catabolic process","6.7E-4","HAL|HGD|HPD|TAT|ARG1|POX2|MAT1A|PAH","1124","1242|1153|1232|1219|1224|1257|1201|1238","","GO.0009063","0"
"16","11","4","GO Process","","L-phenylalanine metabolic process","7.9E-4","HGD|HPD|TAT|PAH","1124","1153|1232|1219|1238","","GO.0006558","0"
"17","11","4","GO Process","","L-phenylalanine catabolic process","7.9E-4","HGD|HPD|TAT|PAH","1124","1153|1232|1219|1238","","GO.0006559","0"
"18","854","19","GO Process","","carboxylic acid metabolic process","7.9E-4","PON1|HAL|ALDH1L1|HGD|HPD|IGF1|PCK1|TAT|ARG1|POX2|CES1|ANGPTL3|CYP2C8|MAT1A|GNMT|ALDOB|RGN|ELOVL7|PAH","1124","1210|1242|1222|1153|1232|1230|1188|1219|1224|1257|1235|1135|1212|1201|1142|1180|1248|1156|1238","","GO.0019752","0"
"19","943","20","GO Process","","oxoacid metabolic process","7.9E-4","PON1|HAL|ALDH1L1|HGD|HPD|IGF1|PCK1|TAT|ARG1|POX2|CES1|ANGPTL3|CYP2C8|MAT1A|GNMT|SPOCK2|ALDOB|RGN|ELOVL7|PAH","1124","1210|1242|1222|1153|1232|1230|1188|1219|1224|1257|1235|1135|1212|1201|1142|1246|1180|1248|1156|1238","","GO.0043436","0"
"20","388","13","GO Process","","small molecule catabolic process","7.9E-4","PON1|HAL|ALDH1L1|HGD|HPD|ALDH1A1|TAT|ARG1|POX2|MAT1A|ALDOB|PAH|UPP2","1124","1210|1242|1222|1153|1232|1250|1219|1224|1257|1201|1180|1238|1139","","GO.0044282","0"
"21","55","6","GO Process","","monosaccharide biosynthetic process","7.9E-4","G6PC|PCK1|ALDOB|RGN|FBP1|ENSP00000461324","1124","1136|1188|1180|1248|1143|1160","","GO.0046364","0"
"22","11","4","GO Process","","erythrose 4-phosphate/phosphoenolpyruvate family amino acid metabolic process","7.9E-4","HGD|HPD|TAT|PAH","1124","1153|1232|1219|1238","","GO.1902221","0"
"23","11","4","GO Process","","erythrose 4-phosphate/phosphoenolpyruvate family amino acid catabolic process","7.9E-4","HGD|HPD|TAT|PAH","1124","1153|1232|1219|1238","","GO.1902222","0"
"24","2032","30","Reactome Pathways","","Metabolism","8.2E-4","HS3ST1|PON1|APOB|APOA1|G6PC|HAL|ALDH1L1|THRSP|HGD|HPD|ALDH1A1|RPL10L|AMN|SLCO1A2|GSTM1|PCK1|TAT|ARG1|CES1|HMGCS2|CYP2C8|MAT1A|GNMT|ALDOB|FBP1|GC|ELOVL7|PAH|ENSP00000461324|UPP2","1124","1163|1210|1184|1182|1136|1242|1222|1161|1153|1232|1250|1253|1167|1144|1203|1188|1219|1224|1235|1170|1212|1201|1142|1180|1143|1227|1156|1238|1160|1139","","HSA-1430728","0"
"25","237","10","GO Process","","carboxylic acid catabolic process","8.5E-4","PON1|HAL|ALDH1L1|HGD|HPD|TAT|ARG1|POX2|MAT1A|PAH","1124","1210|1242|1222|1153|1232|1219|1224|1257|1201|1238","","GO.0046395","0"
"26","420","13","GO Process","","organic hydroxy compound metabolic process","8.5E-4","PON1|APOB|APOA1|ALDH1A1|IGF1|PCK1|CES1|HMGCS2|ANGPTL3|GRIN2A|GC|CEBPA|PAH","1124","1210|1184|1182|1250|1230|1188|1235|1170|1135|1216|1227|1193|1238","","GO.1901615","0"
"27","22","4","Reactome Pathways","","Common Pathway of Fibrin Clot Formation","0.001","FGB|FGG|SERPINC1|F5","1124","1181|1162|1159|1157","","HSA-140875","0"
"28","46","5","Reactome Pathways","","Histidine, lysine, phenylalanine, tyrosine, proline and tryptophan catabolism","0.001","HAL|HGD|HPD|TAT|PAH","1124","1242|1153|1232|1219|1238","","HSA-6788656","0"
"29","46","5","UniProt Keywords","","Blood coagulation","0.0011","FGB|PLG|FGG|SERPINC1|F5","1124","1181|1177|1162|1159|1157","","KW-0094","0"
"30","4","3","UniProt Keywords","","Tyrosine catabolism","0.0011","HGD|HPD|TAT","1124","1153|1232|1219","","KW-0828","0"
"31","1813","28","UniProt Keywords","","Secreted","0.0011","PON1|APOB|APOA1|WNT2|SEMA3D|GDF6|IGF1|CYTL1|FGB|VASN|PLG|PGA3|FGG|SERPINC1|F5|S100A8|S100A9|ANGPTL3|WISP2|SPOCK2|LAMB4|NRG4|SPP1|LGALS9|COL4A3|FGL1|GC|NCAM1","1124","1210|1184|1182|1154|1205|1206|1230|1209|1181|1158|1177|1141|1162|1159|1157|1225|1237|1135|1137|1246|1172|1169|1200|1202|1221|1245|1227|1134","","KW-0964","0"
"32","109","7","GO Process","","cholesterol metabolic process","0.0016","PON1|APOB|APOA1|CES1|HMGCS2|ANGPTL3|CEBPA","1124","1210|1184|1182|1235|1170|1135|1193","","GO.0008203","0"
"33","601","14","Reactome Pathways","","Hemostasis","0.0016","APOB|APOA1|ATP1B2|KCNMB4|IGF1|FGB|PLG|HBB|FGG|SERPINC1|F5|DGKB|DOCK8|PDE1A","1124","1184|1182|1208|1211|1230|1181|1177|1152|1162|1159|1157|1155|1146|1239","","HSA-109582","0"
"34","8","3","UniProt Keywords","","Atherosclerosis","0.0017","APOB|APOA1|RSAD2","1124","1184|1182|1220","","KW-0065","0"
"35","113","7","GO Process","","drug catabolic process","0.0018","HGD|HPD|HBB|TAT|CYP2C8|SATL1|PAH","1124","1153|1232|1152|1219|1212|1217|1238","","GO.0042737","0"
"36","209","9","GO Process","","alpha-amino acid metabolic process","0.0018","HAL|HGD|HPD|TAT|ARG1|POX2|MAT1A|GNMT|PAH","1124","1242|1153|1232|1219|1224|1257|1201|1142|1238","","GO.1901605","0"
"37","5","3","GO Process","","tyrosine catabolic process","0.0019","HGD|HPD|TAT","1124","1153|1232|1219","","GO.0006572","0"
"38","20","4","GO Process","","aromatic amino acid family catabolic process","0.0019","HGD|HPD|TAT|PAH","1124","1153|1232|1219|1238","","GO.0009074","0"
"39","547","14","GO Process","","response to wounding","0.0019","APOA1|IGF1|FGB|PLG|HBB|FGG|ARG1|SERPINC1|F5|VANGL2|S100A8|GRIN2A|DGKB|DOCK8","1124","1182|1230|1181|1177|1152|1162|1224|1159|1157|1196|1225|1216|1155|1146","","GO.0009611","0"
"40","8","3","GO Component","","fibrinogen complex","0.0021","FGB|FGG|FGL1","1124","1181|1162|1245","","GO.0005577","0"
"41","46","5","GO Process","","gluconeogenesis","0.0022","G6PC|PCK1|ALDOB|FBP1|ENSP00000461324","1124","1136|1188|1180|1143|1160","","GO.0006094","0"
"42","10","3","UniProt Keywords","","Thrombophilia","0.0024","PLG|SERPINC1|F5","1124","1177|1159|1157","","KW-0792","0"
"43","285","10","GO Process","","alcohol metabolic process","0.0024","PON1|APOB|APOA1|ALDH1A1|IGF1|PCK1|CES1|HMGCS2|ANGPTL3|CEBPA","1124","1210|1184|1182|1250|1230|1188|1235|1170|1135|1193","","GO.0006066","0"
"44","569","14","GO Process","","small molecule biosynthetic process","0.0025","APOA1|G6PC|PCK1|CES1|HMGCS2|CYP2C8|ALDOB|RGN|FBP1|PDE1A|ELOVL7|PAH|ENSP00000461324|UPP2","1124","1182|1136|1188|1235|1170|1212|1180|1248|1143|1239|1156|1238|1160|1139","","GO.0044283","0"
"45","11","3","UniProt Keywords","","Gluconeogenesis","0.0027","G6PC|PCK1|FBP1","1124","1136|1188|1143","","KW-0312","0"
"46","361","11","GO Process","","regulation of innate immune response","0.0028","APOB|CLEC4E|FGB|FGG|ARG1|S100A14|S100A8|S100A9|HSPA1B|RSAD2|LGALS9","1124","1184|1174|1181|1162|1224|1240|1225|1237|1171|1220|1202","","GO.0045088","0"
"47","87","6","GO Process","","toll-like receptor signaling pathway","0.0029","APOB|FGB|FGG|S100A14|S100A8|S100A9","1124","1184|1181|1162|1240|1225|1237","","GO.0002224","0"
"48","106","6","Reactome Pathways","","Post-translational protein phosphorylation","0.003","APOB|APOA1|FGG|SERPINC1|F5|SPP1","1124","1184|1182|1162|1159|1157|1200","","HSA-8957275","0"
"49","354","10","Reactome Pathways","","Metabolism of amino acids and derivatives","0.0039","HAL|HGD|HPD|RPL10L|TAT|ARG1|MAT1A|GNMT|PAH|ENSP00000461324","1124","1242|1153|1232|1253|1219|1224|1201|1142|1238|1160","","HSA-71291","0"
"50","23","4","KEGG Pathways","","Proximal tubule bicarbonate reclamation","0.004","ATP1B2|PCK1|ATP1A3|ENSP00000461324","1124","1208|1188|1198|1160","","hsa04964","0"
"51","3276","38","UniProt Keywords","","Disulfide bond","0.004","HS3ST1|PON1|APOB|ATP1B2|LY75|WNT2|GPR174|SEMA3D|GDF6|CLEC4E|IGF1|SLCO1A2|FGB|VASN|PLG|TIMM22|PGA3|FGG|CES1|SERPINC1|F5|ABCA4|GABRA3|ANGPTL3|MAT1A|SPOCK2|HRH2|LAMB4|NRG4|GRIN2A|COL4A3|FGL1|GABRR2|SCN4A|GC|LRRC24|UPP2|NCAM1","1124","1163|1210|1184|1208|1231|1154|1191|1205|1206|1174|1230|1144|1181|1158|1177|1173|1141|1162|1235|1159|1157|1150|1213|1135|1201|1246|1247|1172|1169|1216|1221|1245|1195|1223|1227|1168|1139|1134","","KW-1015","0"
"52","29","4","SMART Domains","","Fibrinogen-related domains (FReDs)","0.0042","FGB|FGG|ANGPTL3|FGL1","1124","1181|1162|1135|1245","","SM00186","0"
"53","68","5","GO Component","","platelet alpha granule lumen","0.0046","IGF1|FGB|PLG|FGG|F5","1124","1230|1181|1177|1162|1157","","GO.0031093","0"
"54","1859","27","GO Process","","catabolic process","0.0047","PON1|APOB|APOA1|G6PC|HAL|ALDH1L1|HGD|HPD|ALDH1A1|GSTM1|PGA3|HBB|TAT|ARG1|POX2|S100A8|S100A9|ANGPTL3|CYP2C8|MAT1A|ALDOB|HSPA1B|SPP1|PDE1A|SATL1|PAH|UPP2","1124","1210|1184|1182|1136|1242|1222|1153|1232|1250|1203|1141|1152|1219|1224|1257|1225|1237|1135|1212|1201|1180|1171|1200|1239|1217|1238|1139","","GO.0009056","0"
"55","1646","25","GO Process","","cellular catabolic process","0.0047","PON1|APOB|APOA1|G6PC|HAL|ALDH1L1|HGD|HPD|GSTM1|PGA3|HBB|TAT|ARG1|POX2|S100A8|S100A9|ANGPTL3|CYP2C8|MAT1A|ALDOB|HSPA1B|PDE1A|SATL1|PAH|UPP2","1124","1210|1184|1182|1136|1242|1222|1153|1232|1203|1141|1152|1219|1224|1257|1225|1237|1135|1212|1201|1180|1171|1239|1217|1238|1139","","GO.0044248","0"
"56","9","3","GO Process","","tyrosine metabolic process","0.0048","HGD|HPD|TAT","1124","1153|1232|1219","","GO.0006570","0"
"57","29","4","GO Process","","aromatic amino acid family metabolic process","0.0049","HGD|HPD|TAT|PAH","1124","1153|1232|1219|1238","","GO.0009072","0"
"58","259","9","GO Process","","positive regulation of innate immune response","0.0049","APOB|CLEC4E|FGB|FGG|S100A14|S100A8|S100A9|HSPA1B|RSAD2","1124","1184|1174|1181|1162|1240|1225|1237|1171|1220","","GO.0045089","0"
"59","393","11","GO Process","","positive regulation of secretion","0.0049","CLEC4E|IGF1|CDK5R2|FGB|FGG|S100A8|S100A9|RGCC|SPP1|LGALS9|ENSP00000459962","1124","1174|1230|1197|1181|1162|1225|1237|1148|1200|1202|1151","","GO.0051047","0"
"60","2788","35","GO Process","","regulation of multicellular organismal process","0.005","APOA1|ATP1B2|KCNMB4|WNT2|FEZF2|GDF6|CLEC4E|IGF1|FGB|VASN|PLG|PCP4|FGG|MYH7|ARG1|SERPINC1|VANGL2|S100A9|ANGPTL3|HSPA1B|HRH2|KIAA0319|RGCC|RSAD2|SPP1|LGALS9|GRIN2A|COL4A3|RGN|CELF4|CEBPA|LRRC24|ATP1A3|ENSP00000459962|HIST1H4L","1124","1182|1208|1211|1154|1149|1206|1174|1230|1181|1158|1177|1187|1162|1175|1224|1159|1196|1237|1135|1171|1247|1215|1148|1220|1200|1202|1216|1221|1248|1254|1193|1168|1198|1151|1164","","GO.0051239","0"
"61","125","6","Reactome Pathways","","Platelet degranulation","0.0054","APOA1|IGF1|FGB|PLG|FGG|F5","1124","1182|1230|1181|1177|1162|1157","","HSA-114608","0"
"62","24","4","Pfam","","Fibrinogen beta and gamma chains, C-terminal globular domain","0.0055","FGB|FGG|ANGPTL3|FGL1","1124","1181|1162|1135|1245","","PF00147","0"
"63","28","4","Pfam","","S-100/ICaBP type calcium binding domain","0.0055","S100P|S100A14|S100A8|S100A9","1124","1256|1240|1225|1237","","PF01023","0"
"64","484","12","GO Process","","organic cyclic compound catabolic process","0.0064","HAL|ALDH1L1|HGD|HPD|TAT|POX2|ALDOB|HSPA1B|SPP1|PDE1A|PAH|UPP2","1124","1242|1222|1153|1232|1219|1257|1180|1171|1200|1239|1238|1139","","GO.1901361","0"
"65","491","12","GO Process","","response to inorganic substance","0.0072","PON1|APOB|KCNMB4|FGB|HBB|FGG|TAT|ARG1|S100A8|HPCA|FBP1|CEBPA","1124","1210|1184|1211|1181|1152|1162|1219|1224|1225|1251|1143|1193","","GO.0010035","0"
"66","742","15","GO Process","","positive regulation of hydrolase activity","0.0074","APOA1|ATP1B2|ALDH1A1|S100A8|S100A9|HPCA|ALDOB|ARHGAP9|LGALS9|GRIN2A|COL4A3|RGN|DOCK8|TBC1D26|TBC1D3D","1124","1182|1208|1250|1225|1237|1251|1180|1185|1202|1216|1221|1248|1146|1147|1204","","GO.0051345","0"
"67","168","7","GO Process","","innate immune response-activating signal transduction","0.0095","APOB|CLEC4E|FGB|FGG|S100A14|S100A8|S100A9","1124","1184|1174|1181|1162|1240|1225|1237","","GO.0002758","0"
"68","4153","45","GO Process","","response to chemical","0.0096","PON1|APOB|APOA1|G6PC|KCNMB4|WNT2|CGN|FEZF2|SEMA3D|GDF6|S100P|AMN|IGF1|FGB|VASN|GSTM1|PCK1|HBB|FGG|TAT|ARG1|POX2|CES1|SERPINC1|VANGL2|S100A14|S100A8|S100A9|ANGPTL3|CYP2C8|SPOCK2|HPCA|HSPA1B|RGCC|RSAD2|SPP1|LGALS9|GRIN2A|DOCK8|FBP1|CEBPA|ATP1A3|ENSP00000459962|ENSP00000461324|NCAM1","1124","1210|1184|1182|1136|1211|1154|1243|1149|1205|1206|1256|1167|1230|1181|1158|1203|1188|1152|1162|1219|1224|1257|1235|1159|1196|1240|1225|1237|1135|1212|1246|1251|1171|1148|1220|1200|1202|1216|1146|1143|1193|1198|1151|1160|1134","","GO.0042221","0"
"69","365","10","GO Process","","positive regulation of defense response","0.01","APOB|CLEC4E|FGB|FGG|ARG1|S100A14|S100A8|S100A9|HSPA1B|RSAD2","1124","1184|1174|1181|1162|1224|1240|1225|1237|1171|1220","","GO.0031349","0"
"70","516","12","GO Process","","regulation of system process","0.01","APOA1|ATP1B2|KCNMB4|IGF1|FGB|FGG|MYH7|HRH2|GRIN2A|CELF4|ATP1A3|ENSP00000459962","1124","1182|1208|1211|1230|1181|1162|1175|1247|1216|1254|1198|1151","","GO.0044057","0"
"71","2951","34","UniProt Keywords","","Disease mutation","0.0104","APOB|APOA1|G6PC|HAL|HGD|GDF6|HPD|AMN|FGB|PLG|HBB|FGG|MYH7|TAT|ARG1|SERPINC1|F5|VANGL2|HMGCS2|ABCA4|MAT1A|GNMT|HPCA|GJB1|ALDOB|GRIN2A|COL4A3|DOCK8|SCN4A|MYBPC1|FBP1|CEBPA|ATP1A3|PAH","1124","1184|1182|1136|1242|1153|1206|1232|1167|1181|1177|1152|1162|1175|1219|1224|1159|1157|1196|1170|1150|1201|1142|1251|1241|1180|1216|1221|1146|1223|1259|1143|1193|1198|1238","","KW-0225","0"
"72","691","14","GO Process","","regulated exocytosis","0.0107","APOA1|S100P|IGF1|FGB|PLG|HBB|FGG|ARG1|F5|S100A8|S100A9|HSPA1B|ARHGAP9|TMC6","1124","1182|1256|1230|1181|1177|1152|1162|1224|1157|1225|1237|1171|1185|1229","","GO.0045055","0"
"73","17","3","KEGG Pathways","","Phenylalanine metabolism","0.0108","HPD|TAT|PAH","1124","1232|1219|1238","","hsa00360","0"
"74","72","5","KEGG Pathways","","Biosynthesis of amino acids","0.0108","TAT|ARG1|MAT1A|ALDOB|PAH","1124","1219|1224|1201|1180|1238","","hsa01230","0"
"75","78","5","KEGG Pathways","","Complement and coagulation cascades","0.0108","FGB|PLG|FGG|SERPINC1|F5","1124","1181|1177|1162|1159|1157","","hsa04610","0"
"76","77","5","GO Process","","regulation of blood coagulation","0.0113","FGB|PLG|FGG|SERPINC1|S100A9","1124","1181|1177|1162|1159|1237","","GO.0030193","0"
"77","15","3","GO Process","","fructose metabolic process","0.0116","ALDH1A1|ALDOB|FBP1","1124","1250|1180|1143","","GO.0006000","0"
"78","453","11","GO Process","","aromatic compound catabolic process","0.0116","PON1|HAL|ALDH1L1|HGD|HPD|TAT|ALDOB|HSPA1B|PDE1A|PAH|UPP2","1124","1210|1242|1222|1153|1232|1219|1180|1171|1239|1238|1139","","GO.0019439","0"
"79","55","4","UniProt Keywords","","S-nitrosylation","0.0123","HBB|S100A8|S100A9|MAT1A","1124","1152|1225|1237|1201","","KW-0702","0"
"80","129","6","GO Process","","platelet degranulation","0.0128","APOA1|IGF1|FGB|PLG|FGG|F5","1124","1182|1230|1181|1177|1162|1157","","GO.0002576","0"
"81","461","11","GO Process","","wound healing","0.0128","IGF1|FGB|PLG|HBB|FGG|SERPINC1|F5|VANGL2|S100A8|DGKB|DOCK8","1124","1230|1181|1177|1152|1162|1159|1157|1196|1225|1155|1146","","GO.0042060","0"
"82","1192","19","GO Process","","lipid metabolic process","0.0129","PON1|APOB|APOA1|G6PC|THRSP|ALDH1A1|PCK1|CES1|HMGCS2|ABCA4|ANGPTL3|CYP2C8|NRG4|SPP1|DGKB|GC|ELOVL7|CEBPA|ENSP00000459962","1124","1210|1184|1182|1136|1161|1250|1188|1235|1170|1150|1135|1212|1169|1200|1155|1227|1156|1193|1151","","GO.0006629","0"
"83","2","2","GO Process","","neutrophil aggregation","0.0129","S100A8|S100A9","1124","1225|1237","","GO.0070488","0"
"84","4","2","Reactome Pathways","","HDL clearance","0.013","APOA1|AMN","1124","1182|1167","","HSA-8964011","0"
"85","2524","31","GO Process","","regulation of localization","0.014","PON1|APOB|APOA1|ATP1B2|KCNMB4|FEZF2|CLEC4E|IGF1|CDK5R2|FGB|PLG|FGG|ARG1|S100A14|S100A8|S100A9|ANGPTL3|SPOCK2|HPCA|NKAIN1|RGCC|RSAD2|NRG4|SPP1|LGALS9|RGN|DOCK8|SCN4A|TBC1D26|ENSP00000459962|TBC1D3D","1124","1210|1184|1182|1208|1211|1149|1174|1230|1197|1181|1177|1162|1224|1240|1225|1237|1135|1246|1251|1236|1148|1220|1169|1200|1202|1248|1146|1223|1147|1151|1204","","GO.0032879","0"
"86","19","3","GO Component","","endocytic vesicle lumen","0.0142","APOB|APOA1|HBB","1124","1184|1182|1152","","GO.0071682","0"
"87","728","14","GO Process","","regulation of secretion","0.0143","APOA1|KCNMB4|CLEC4E|IGF1|CDK5R2|FGB|FGG|S100A8|S100A9|RGCC|RSAD2|SPP1|LGALS9|ENSP00000459962","1124","1182|1211|1174|1230|1197|1181|1162|1225|1237|1148|1220|1200|1202|1151","","GO.0051046","0"
"88","105","5","Reactome Pathways","","Diseases of metabolism","0.0144","G6PC|AMN|MAT1A|ALDOB|PAH","1124","1136|1167|1201|1180|1238","","HSA-5668914","0"
"89","3","2","SMART Domains","","Fibrinogen alpha/beta chain family","0.015","FGB|FGG","1124","1181|1162","","SM01212","0"
"90","5","2","Reactome Pathways","","Scavenging by Class B Receptors","0.016","APOB|APOA1","1124","1184|1182","","HSA-3000471","0"
"91","5","2","Reactome Pathways","","Fructose catabolism","0.016","ALDH1A1|ALDOB","1124","1250|1180","","HSA-70350","0"
"92","4353","44","UniProt Keywords","","Glycoprotein","0.0168","HS3ST1|PON1|APOB|APOA1|ATP1B2|G6PC|KCNMB4|LY75|WNT2|GPR174|SEMA3D|GDF6|AMN|CLEC4E|SLCO1A2|FGB|VASN|GPR113|PLG|GPR88|HBB|FGG|CES1|MFSD4|SERPINC1|F5|ABCA4|GABRA3|ANGPTL3|SPOCK2|NKAIN1|HRH2|KIAA0319|LAMB4|NRG4|SPP1|GRIN2A|COL4A3|GABRR2|SCN4A|GC|LRRC24|TMC6|NCAM1","1124","1163|1210|1184|1182|1208|1136|1211|1231|1154|1191|1205|1206|1167|1174|1144|1181|1158|1138|1177|1218|1152|1162|1235|1234|1159|1157|1150|1213|1135|1246|1236|1247|1215|1172|1169|1200|1216|1221|1195|1223|1227|1168|1229|1134","","KW-0325","0"
"93","1024","17","GO Process","","cell activation","0.0169","S100P|CLEC4E|IGF1|FGB|HBB|FGG|ARG1|S100A8|S100A9|HSPA1B|RGCC|RSAD2|ARHGAP9|DGKB|DOCK8|ENSP00000459962|TMC6","1124","1256|1174|1230|1181|1152|1162|1224|1225|1237|1171|1148|1220|1185|1155|1146|1151|1229","","GO.0001775","0"
"94","262","8","GO Process","","positive regulation of peptide secretion","0.0169","CLEC4E|IGF1|FGB|FGG|S100A8|S100A9|RGCC|LGALS9","1124","1174|1230|1181|1162|1225|1237|1148|1202","","GO.0002793","0"
"95","198","7","GO Process","","monosaccharide metabolic process","0.0169","G6PC|ALDH1A1|PCK1|ALDOB|RGN|FBP1|ENSP00000461324","1124","1136|1250|1188|1180|1248|1143|1160","","GO.0005996","0"
"96","3559","39","GO Process","","regulation of biological quality","0.018","APOB|APOA1|ATP1B2|G6PC|KCNMB4|ALDH1A1|IGF1|CYTL1|FGB|PLG|GPR88|PCK1|HBB|FGG|MYH7|SERPINC1|F5|S100A14|S100A8|S100A9|ABCA4|ANGPTL3|HSPA1B|HRH2|SPP1|LGALS9|A1CF|GRIN2A|RGN|DGKB|DOCK8|SCN4A|CELF4|CEBPA|LRRC24|ATP1A3|PAH|ENSP00000459962|HIST1H4L","1124","1184|1182|1208|1136|1211|1250|1230|1209|1181|1177|1218|1188|1152|1162|1175|1159|1157|1240|1225|1237|1150|1135|1171|1247|1200|1202|1178|1216|1248|1155|1146|1223|1254|1193|1168|1198|1238|1151|1164","","GO.0065008","0"
"97","339","9","GO Process","","response to metal ion","0.0187","KCNMB4|FGB|FGG|TAT|ARG1|S100A8|HPCA|FBP1|CEBPA","1124","1211|1181|1162|1219|1224|1225|1251|1143|1193","","GO.0010038","0"
